tf_bnum	gene_bnum	cset_type	cset_id	n
b0064	b3564	positive	positive_2_2	2
b0064	b3565	positive	positive_2_2	2
b0076	b0071	positive	positive_2_2	2
b0076	b0072	positive	positive_2_2	2
b0076	b0073	positive	positive_2_2	2
b0076	b0074	positive	positive_2_2	2
b0076	b0075	positive	positive_2_2	2
b0076	b1954	positive	positive_2_2	2
b0076	b4133	positive	positive_2_2	2
b0080	b0070	positive	positive_2_2	2
b0080	b0112	positive	positive_2_2	2
b0080	b0113	positive	positive_2_2	2
b0080	b0114	positive	positive_2_2	2
b0080	b0115	positive	positive_2_2	2
b0080	b0116	positive	positive_2_2	2
b0080	b0118	positive	positive_2_2	2
b0080	b0311	positive	positive_2_2	2
b0080	b0312	positive	positive_2_2	2
b0080	b0313	positive	positive_2_2	2
b0080	b0314	positive	positive_2_2	2
b0080	b0331	positive	positive_2_2	2
b0080	b0333	positive	positive_2_2	2
b0080	b0334	positive	positive_2_2	2
b0080	b0335	positive	positive_2_2	2
b0080	b0428	positive	positive_2_2	2
b0080	b0429	positive	positive_2_2	2
b0080	b0430	positive	positive_2_2	2
b0080	b0431	positive	positive_2_2	2
b0080	b0432	positive	positive_2_2	2
b0080	b0871	positive	positive_2_2	2
b0080	b1276	positive	positive_2_2	2
b0080	b1530	positive	positive_2_2	2
b0080	b1531	positive	positive_2_2	2
b0080	b1532	positive	positive_2_2	2
b0080	b1817	positive	positive_2_2	2
b0080	b1818	positive	positive_2_2	2
b0080	b1819	positive	positive_2_2	2
b0080	b2097	positive	positive_2_2	2
b0080	b2167	positive	positive_2_2	2
b0080	b2168	positive	positive_2_2	2
b0080	b2169	positive	positive_2_2	2
b0080	b2388	positive	positive_2_2	2
b0080	b2980	positive	positive_2_2	2
b0080	b3365	positive	positive_2_2	2
b0080	b3366	positive	positive_2_2	2
b0080	b3367	positive	positive_2_2	2
b0080	b3368	positive	positive_2_2	2
b0080	b3612	positive	positive_2_2	2
b0080	b3613	positive	positive_2_2	2
b0080	b3614	positive	positive_2_2	2
b0080	b3919	positive	positive_2_2	2
b0080	b3956	positive	positive_2_2	2
b0080	b4577	positive	positive_2_2	2
b0080	b4662	positive	positive_2_2	2
b0113	b2579	positive	positive_2_2	2
b0113	b4287	positive	positive_2_2	2
b0113	b4288	positive	positive_2_2	2
b0113	b4289	positive	positive_2_2	2
b0113	b4290	positive	positive_2_2	2
b0113	b4291	positive	positive_2_2	2
b0162	b0162	positive	positive_2_2	2
b0162	b2787	positive	positive_2_2	2
b0162	b2788	positive	positive_2_2	2
b0162	b2789	positive	positive_2_2	2
b0162	b3123	positive	positive_2_2	2
b0162	b3124	positive	positive_2_2	2
b0162	b3125	positive	positive_2_2	2
b0162	b3126	positive	positive_2_2	2
b0162	b3127	positive	positive_2_2	2
b0162	b3128	positive	positive_2_2	2
b0330	b0330	positive	positive_2_2	2
b0330	b0331	positive	positive_2_2	2
b0330	b0333	positive	positive_2_2	2
b0330	b0334	positive	positive_2_2	2
b0330	b0335	positive	positive_2_2	2
b0399	b0929	positive	positive_2_2	2
b0399	b1597	positive	positive_2_2	2
b0399	b2465	positive	positive_2_2	2
b0399	b2916	positive	positive_2_2	2
b0399	b2987	positive	positive_2_2	2
b0399	b3515	positive	positive_2_2	2
b0399	b3516	positive	positive_2_2	2
b0399	b3615	positive	positive_2_2	2
b0399	b4217	positive	positive_2_2	2
b0435	b0839	positive	positive_2_2	2
b0435	b4150	positive	positive_2_2	2
b0464	b1891	positive	positive_2_2	2
b0464	b1892	positive	positive_2_2	2
b0464	b4439	positive	positive_2_2	2
b0487	b0781	positive	positive_2_2	2
b0487	b0782	positive	positive_2_2	2
b0487	b0783	positive	positive_2_2	2
b0487	b0784	positive	positive_2_2	2
b0487	b0785	positive	positive_2_2	2
b0504	b0515	positive	positive_2_2	2
b0504	b0516	positive	positive_2_2	2
b0504	b0517	positive	positive_2_2	2
b0564	b0972	positive	positive_2_2	2
b0564	b0973	positive	positive_2_2	2
b0564	b0974	positive	positive_2_2	2
b0564	b0975	positive	positive_2_2	2
b0564	b0976	positive	positive_2_2	2
b0564	b0977	positive	positive_2_2	2
b0564	b0978	positive	positive_2_2	2
b0564	b0979	positive	positive_2_2	2
b0564	b0980	positive	positive_2_2	2
b0564	b4592	positive	positive_2_2	2
b0566	b0929	positive	positive_2_2	2
b0566	b2215	positive	positive_2_2	2
b0571	b0428	positive	positive_2_2	2
b0571	b0429	positive	positive_2_2	2
b0571	b0430	positive	positive_2_2	2
b0571	b0431	positive	positive_2_2	2
b0571	b0432	positive	positive_2_2	2
b0620	b0564	positive	positive_2_2	2
b0676	b1501	positive	positive_2_2	2
b0676	b1817	positive	positive_2_2	2
b0676	b1818	positive	positive_2_2	2
b0676	b1819	positive	positive_2_2	2
b0676	b2415	positive	positive_2_2	2
b0676	b2416	positive	positive_2_2	2
b0676	b2417	positive	positive_2_2	2
b0676	b3408	positive	positive_2_2	2
b0676	b3409	positive	positive_2_2	2
b0676	b3410	positive	positive_2_2	2
b0676	b4397	positive	positive_2_2	2
b0676	b4398	positive	positive_2_2	2
b0676	b4399	positive	positive_2_2	2
b0676	b4400	positive	positive_2_2	2
b0683	b0116	positive	positive_2_2	2
b0683	b0428	positive	positive_2_2	2
b0683	b0429	positive	positive_2_2	2
b0683	b0430	positive	positive_2_2	2
b0683	b0431	positive	positive_2_2	2
b0683	b0432	positive	positive_2_2	2
b0683	b0450	positive	positive_2_2	2
b0683	b0451	positive	positive_2_2	2
b0683	b0721	positive	positive_2_2	2
b0683	b0722	positive	positive_2_2	2
b0683	b0723	positive	positive_2_2	2
b0683	b0724	positive	positive_2_2	2
b0683	b0726	positive	positive_2_2	2
b0683	b0727	positive	positive_2_2	2
b0683	b0728	positive	positive_2_2	2
b0683	b0729	positive	positive_2_2	2
b0683	b0805	positive	positive_2_2	2
b0683	b0928	positive	positive_2_2	2
b0683	b0929	positive	positive_2_2	2
b0683	b1102	positive	positive_2_2	2
b0683	b1109	positive	positive_2_2	2
b0683	b1334	positive	positive_2_2	2
b0683	b1611	positive	positive_2_2	2
b0683	b1658	positive	positive_2_2	2
b0683	b1732	positive	positive_2_2	2
b0683	b1761	positive	positive_2_2	2
b0683	b1891	positive	positive_2_2	2
b0683	b1892	positive	positive_2_2	2
b0683	b1973	positive	positive_2_2	2
b0683	b1988	positive	positive_2_2	2
b0683	b2029	positive	positive_2_2	2
b0683	b2106	positive	positive_2_2	2
b0683	b2107	positive	positive_2_2	2
b0683	b2392	positive	positive_2_2	2
b0683	b2552	positive	positive_2_2	2
b0683	b2579	positive	positive_2_2	2
b0683	b2671	positive	positive_2_2	2
b0683	b2673	positive	positive_2_2	2
b0683	b2674	positive	positive_2_2	2
b0683	b2675	positive	positive_2_2	2
b0683	b2676	positive	positive_2_2	2
b0683	b2741	positive	positive_2_2	2
b0683	b3070	positive	positive_2_2	2
b0683	b3212	positive	positive_2_2	2
b0683	b3213	positive	positive_2_2	2
b0683	b3214	positive	positive_2_2	2
b0683	b3408	positive	positive_2_2	2
b0683	b3409	positive	positive_2_2	2
b0683	b3410	positive	positive_2_2	2
b0683	b3441	positive	positive_2_2	2
b0683	b3938	positive	positive_2_2	2
b0683	b3942	positive	positive_2_2	2
b0683	b4019	positive	positive_2_2	2
b0683	b4062	positive	positive_2_2	2
b0683	b4063	positive	positive_2_2	2
b0683	b4122	positive	positive_2_2	2
b0683	b4764	positive	positive_2_2	2
b0761	b1243	positive	positive_2_2	2
b0761	b1244	positive	positive_2_2	2
b0761	b1245	positive	positive_2_2	2
b0761	b1246	positive	positive_2_2	2
b0761	b1247	positive	positive_2_2	2
